,Title,Wage min,Wage max,Currency,Link,Source
119,Associate Professor - Data Science&AI (eng),0,0,0,https://nn.hh.ru/vacancy/73328887?from=vacancy_search_list&query=Data,hh
120,Data Analyst,0,0,0,https://nn.hh.ru/vacancy/75912112?from=vacancy_search_list&query=Data,hh
121,Data engineer,0,0,0,https://nn.hh.ru/vacancy/75524554?from=vacancy_search_list&query=Data,hh
122,Middle Python разработчик в Data Quality (Big Data),0,0,0,https://nn.hh.ru/vacancy/77142106?from=vacancy_search_list&query=Data,hh
123,Data-аналитик по прогнозированию и товарному запасу (г. Екатеринбург),0,0,0,https://nn.hh.ru/vacancy/73139271?from=vacancy_search_list&query=Data,hh
124,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/76729345?from=vacancy_search_list&query=Data,hh
125,Data Analyst,0,0,0,https://nn.hh.ru/vacancy/72682205?from=vacancy_search_list&query=Data,hh
126,Аналитик поддержки в Плюс,0,0,0,https://nn.hh.ru/vacancy/76312945?from=vacancy_search_list&query=Data,hh
127,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/77073264?from=vacancy_search_list&query=Data,hh
128,Data scientist (Ценообразование),0,0,0,https://nn.hh.ru/vacancy/76974214?from=vacancy_search_list&query=Data,hh
129,Автор курсов по Data Analytics,0,0,0,https://nn.hh.ru/vacancy/72748493?from=vacancy_search_list&query=Data,hh
130,Разработчик SQL,0,230000,руб.,https://nn.hh.ru/vacancy/77077784?from=vacancy_search_list&query=Data,hh
131,Data Engineer (Backend),0,0,0,https://nn.hh.ru/vacancy/77120466?from=vacancy_search_list&query=Data,hh
132,Data Engineer Junior,0,0,0,https://nn.hh.ru/vacancy/76995236?from=vacancy_search_list&query=Data,hh
133,Data Engineer Middle,0,0,0,https://nn.hh.ru/vacancy/75966983?from=vacancy_search_list&query=Data,hh
134,Product (Data) Analyst,0,0,0,https://nn.hh.ru/vacancy/76924168?from=vacancy_search_list&query=Data,hh
135,Data Engineer,0,0,0,https://nn.hh.ru/vacancy/76291546?from=vacancy_search_list&query=Data,hh
136,Аналитик данных,0,0,0,https://nn.hh.ru/vacancy/76400927?from=vacancy_search_list&query=Data,hh
137,Инженер данных,0,0,0,https://nn.hh.ru/vacancy/73740883?from=vacancy_search_list&query=Data,hh
138,Data Analyst (Розничный блок),0,0,0,https://nn.hh.ru/vacancy/76970572?from=vacancy_search_list&query=Data,hh
139,Tech Lead Data Engineer (Big Data),0,0,0,https://nn.hh.ru/vacancy/73998234?from=vacancy_search_list&query=Data,hh
140,Data Sales Systems Specialist / Специалист по мониторингу систем продаж,0,0,0,https://nn.hh.ru/vacancy/74812674?from=vacancy_search_list&query=Data,hh
141,Data engineer,0,0,0,https://nn.hh.ru/vacancy/75566599?from=vacancy_search_list&query=Data,hh
142,Data architect / Архитектор данных,0,0,0,https://nn.hh.ru/vacancy/76599121?from=vacancy_search_list&query=Data,hh
143,Data Scientist (Middle+),0,0,0,https://nn.hh.ru/vacancy/76916638?from=vacancy_search_list&query=Data,hh
144,Assistant Professor - Data Science&AI (eng),0,0,0,https://nn.hh.ru/vacancy/73328580?from=vacancy_search_list&query=Data,hh
145,Data-инженер,0,0,0,https://nn.hh.ru/vacancy/76888766?from=vacancy_search_list&query=Data,hh
146,Data Quality Analytic (Remote),0,0,0,https://nn.hh.ru/vacancy/77218063?from=vacancy_search_list&query=Data,hh
147,Data Engineer (Middle),100000,0,руб.,https://nn.hh.ru/vacancy/73363987?from=vacancy_search_list&query=Data,hh
148,Data Analyst,0,0,0,https://nn.hh.ru/vacancy/71833309?from=vacancy_search_list&query=Data,hh
149,Data Engineer (DWH),0,0,0,https://nn.hh.ru/vacancy/76225045?from=vacancy_search_list&query=Data,hh
150,Data Analyst,0,0,0,https://nn.hh.ru/vacancy/76965881?from=vacancy_search_list&query=Data,hh
151,Senior Data Engineer (Search),0,0,0,https://nn.hh.ru/vacancy/73118539?from=vacancy_search_list&query=Data,hh
152,"Solution Architect / Presales Expert (BI,Data Governance, Data Quality, Big Data,Machine Learning)",0,0,0,https://nn.hh.ru/vacancy/76084130?from=vacancy_search_list&query=Data,hh
